Index    Invoke Time(sec)       Use Size(byte)     Total Size(byte)         Total Object                    GC Time(ms) GC 17 invokes. 66.217688867
    1               0.076              2245480              2262920                56573         2.98645000000000138130
    2               0.106              4035400              4053720               101343         4.93309799999999665232
    3               0.154              7257240              7293440               182336         8.23704700000002532079
    4               0.242             13082600             13121680               328042        14.97344800000000120122
    5               0.402             23578040             23622280               590557        27.84567400000004155913
    6               0.688             42469800             42523360              1063084        44.32327400000002626257
    7               1.173             76462040             76532280              1913307        87.02778099999997607483
    8               2.089            137661040            137761360              3444034       147.27835599999971805119
    9               3.731            247806240            247960680              6199017       262.25431500000030382580
   10               6.660            446080560            446332480             11158312       458.84745099999958029002
   11              11.950            802974320            803401720             20085043       861.81415999999978794222
   12              21.526           1445376640           1446119840             36152996      1500.12865300000089519017
   13              38.623           2601697520           2603009200             65075230      2674.83629499999869949534

